Var,Description,Name,from,to
  NSUBC     , LOSS OF NC DURING EVAP,Evaporation,,
  NSUBI     , LOSS OF NI DURING SUB.,,,
  NSUBS     , LOSS OF NS DURING SUB.,,,
  NSUBR     , LOSS OF NR DURING EVAP,,,
  NNUCCC    , CHANGE N DUE TO CONTACT FREEZ DROPLETS,,,
  NNUCCD    , CHANGE N FREEZING AEROSOL (PRIM ICE NUCLEATION),,,
  NNUCCR    , CHANGE N DUE TO CONTACT FREEZ RAIN,,,
  NPRA      , CHANGE IN N DUE TO DROPLET ACC BY RAIN,,,
  NRAGG     , SELF-COLLECTION/BREAKUP OF RAIN,Self-collection and breakup of rain,,
  NSAGG     , SELF-COLLECTION OF SNOW,Self-collection of snow,,
  NPRC      , CHANGE NC AUTOCONVERSION DROPLETS,Autoconversion,,
  NPRC1      , CHANGE NR AUTOCONVERSION DROPLETS,Autoconversion,,
  NPSACWS   , CHANGE N DROPLET ACCRETION BY SNOW,Accretion by snow,,
  NPSACWI   , CHANGE N DROPLET ACCRETION BY CLOUD ICE,Accretion by ice,,
  NPRCI     , CHANGE N AUTOCONVERSION CLOUD ICE BY SNOW,Autoconversion of ice by snow,,
  NPRAI     , CHANGE N ACCRETION CLOUD ICE,Accretion of cloud ice,,
  NMULTS    , ICE MULT DUE TO RIMING DROPLETS BY SNOW,Riming of cloud water by snow,,
  NMULTR    , ICE MULT DUE TO RIMING RAIN BY SNOW,Riming of rain by snow,,
  NPRACS    , CHANGE N RAIN-SNOW COLLECTION,Rain-snow collection,,
  NSMLTS    , CHANGE N MELTING SNOW,melting of snow,,
  NSMLTR    , CHANGE N MELTING SNOW TO RAIN,melting of snow to rain,,
  NIACRS     ," CHANGE N, ICE RAIN COLLISION, ADDED TO SNOW",Ice-rain collision,,
  NPRACG    , CHANGE N COLLECTION RAIN BY GRAUPEL,Collection of rain by graupel,,
  NPSACWG    , CHANGE N COLLECTION DROPLETS BY GRAUPEL,Collection of cloud water by graupel,,
  NSCNG    , CHANGE N CONVERSION TO GRAUPEL DUE TO COLLECTION DROPLETS BY SNOW,conversion of snow to graupel due to collection of cloud water,,
  NGRACS    , CHANGE N CONVERSION TO GRAUPEL DUE TO COLLECTION RAIN BY SNOW,conversion of rain to graupel due to collection of cloud water,,
  NGMLTG    , CHANGE N MELTING GRAUPEL,melting graupel,,
  NGMLTR    , CHANGE N MELTING GRAUPEL TO RAIN,melting graupel to rain,,
  NSUBG    , CHANGE N SUB/DEP OF GRAUPEL,sublimation/deposition of graupel,,
  NMULTG    , ICE MULT DUE TO ACC DROPLETS BY GRAUPEL,ice multiplication,,
  NMULTRG    , ICE MULT DUE TO ACC RAIN BY GRAUPEL,ice multiplication,,
